bills-fan	studio product photograph of a small fan of crisp green paper banknotes, generic play-money with plain blank faces, floating against a seamless pale warm-gray studio background, bright high-key daylight, crisp sharp focus, soft gentle shadow, photographic, slightly playful floating angle, no text, no logos, no labels, no watermark
bill-roll	studio product photograph of a folded stack of generic green paper banknotes held by a plain white paper band, blank bill faces, floating against a seamless pale warm-gray studio background, bright high-key daylight, crisp sharp focus, soft gentle shadow, photographic, slightly playful floating angle, no text, no logos, no labels, no watermark
receipt	studio product photograph of a blank white paper shop receipt, gently curling at the bottom edge, completely blank paper, floating against a seamless pale warm-gray studio background, bright high-key daylight, crisp sharp focus, soft gentle shadow, photographic, slightly playful floating angle, no text, no logos, no labels, no watermark
phone	studio product photograph of a modern smartphone floating at a slight angle, screen completely black and blank, thin bezels, floating against a seamless pale warm-gray studio background, bright high-key daylight, crisp sharp focus, soft gentle shadow, photographic, slightly playful floating angle, no text, no logos, no labels, no watermark
soda-can	studio product photograph of a plain unlabeled matte aluminum soda can with fine condensation droplets, blank surface, floating against a seamless pale warm-gray studio background, bright high-key daylight, crisp sharp focus, soft gentle shadow, photographic, slightly playful floating angle, no text, no logos, no labels, no watermark
iced-coffee	studio product photograph of an iced latte in a clear plastic cup with a straw, layered coffee and milk, condensation, floating against a seamless pale warm-gray studio background, bright high-key daylight, crisp sharp focus, soft gentle shadow, photographic, slightly playful floating angle, no text, no logos, no labels, no watermark
ringlight	studio product photograph of a small desktop LED ring light on a short stand, glowing softly warm white, floating against a seamless pale warm-gray studio background, bright high-key daylight, crisp sharp focus, soft gentle shadow, photographic, slightly playful floating angle, no text, no logos, no labels, no watermark
tripod-phone	studio product photograph of a smartphone mounted on a small flexible mini tripod, blank black screen, floating against a seamless pale warm-gray studio background, bright high-key daylight, crisp sharp focus, soft gentle shadow, photographic, slightly playful floating angle, no text, no logos, no labels, no watermark
bag	studio product photograph of a small brown kraft paper shopping bag with paper handles, blank unprinted surface, floating against a seamless pale warm-gray studio background, bright high-key daylight, crisp sharp focus, soft gentle shadow, photographic, slightly playful floating angle, no text, no logos, no labels, no watermark
coin	studio product photograph of a single shiny golden dollar coin with a plain smooth blank face, floating against a seamless pale warm-gray studio background, bright high-key daylight, crisp sharp focus, soft gentle shadow, photographic, slightly playful floating angle, no text, no logos, no labels, no watermark
